Ensembl transcript,StringDB
ENST00000444946,ENSP00000404804
ENST00000628744,ENSP00000487307
ENST00000672632,ENSP00000500770
ENST00000639835,ENSP00000492578
ENST00000436730,ENSP00000404180
ENST00000476581,ENSP00000424548
ENST00000437139,ENSP00000402732
ENST00000632372,ENSP00000488696
ENST00000260010,ENSP00000260010
ENST00000542230,ENSP00000439768
ENST00000378932,ENSP00000368214
ENST00000530004,ENSP00000431228
ENST00000643396,ENSP00000494136
ENST00000356864,ENSP00000349324
ENST00000539846,ENSP00000437928
ENST00000646924,ENSP00000493591
ENST00000397795,ENSP00000380897
ENST00000485386,ENSP00000453693
ENST00000392519,ENSP00000376304
ENST00000392415,ENSP00000376215
ENST00000424575,ENSP00000409902
ENST00000626630,ENSP00000487139
ENST00000409501,ENSP00000387019
ENST00000368252,ENSP00000357235
ENST00000434570,ENSP00000391262
ENST00000432792,ENSP00000429275
ENST00000530205,ENSP00000434177
ENST00000402580,ENSP00000384941
ENST00000309683,ENSP00000309330
ENST00000631557,ENSP00000488756
ENST00000377533,ENSP00000366756
ENST00000372956,ENSP00000362047
ENST00000295314,ENSP00000295314
ENST00000378560,ENSP00000367822
ENST00000296786,ENSP00000296786
ENST00000613239,ENSP00000484743
ENST00000469351,ENSP00000417287
ENST00000522111,ENSP00000429216
ENST00000361005,ENSP00000354280
ENST00000373130,ENSP00000362222
ENST00000643258,ENSP00000496114
ENST00000502588,ENSP00000423121
ENST00000354560,ENSP00000346568
ENST00000371160,ENSP00000360202
ENST00000453074,ENSP00000392070
ENST00000443968,ENSP00000413976
ENST00000265686,ENSP00000265686
ENST00000510267,ENSP00000427613
ENST00000392901,ENSP00000376635
ENST00000394440,ENSP00000377958
ENST00000392557,ENSP00000376340
ENST00000257468,ENSP00000257468
ENST00000674285,ENSP00000501457
ENST00000377991,ENSP00000367230
ENST00000550981,ENSP00000447766
ENST00000616297,ENSP00000480069
ENST00000359524,ENSP00000352514
ENST00000534313,ENSP00000436269
ENST00000377602,ENSP00000366827
ENST00000441599,ENSP00000393426
ENST00000338969,ENSP00000342970
ENST00000396551,ENSP00000379800
ENST00000392587,ENSP00000376366
ENST00000438097,ENSP00000411258
ENST00000327359,ENSP00000329029
ENST00000287078,ENSP00000287078
ENST00000254181,ENSP00000254181
ENST00000296125,ENSP00000296125
ENST00000351486,ENSP00000239215
ENST00000256552,ENSP00000256552
ENST00000305476,ENSP00000306844
ENST00000318094,ENSP00000312860
ENST00000438076,ENSP00000389198
ENST00000371724,ENSP00000360789
ENST00000419127,ENSP00000411645
ENST00000614034,ENSP00000480297
ENST00000295622,ENSP00000295622
ENST00000254976,ENSP00000254976
ENST00000511269,ENSP00000425502
ENST00000429714,ENSP00000399157
ENST00000449836,ENSP00000397390
ENST00000375840,ENSP00000365000
ENST00000672306,ENSP00000500570
ENST00000368251,ENSP00000357234
ENST00000476907,ENSP00000419607
ENST00000379405,ENSP00000368715
ENST00000550282,ENSP00000449272
ENST00000327374,ENSP00000332721
ENST00000257566,ENSP00000257566
ENST00000464789,ENSP00000441110
ENST00000672155,ENSP00000500808
ENST00000221399,ENSP00000221399
ENST00000389398,ENSP00000374049
ENST00000234831,ENSP00000234831
ENST00000631840,ENSP00000488292
ENST00000456946,ENSP00000403312
ENST00000372165,ENSP00000361238
ENST00000621965,ENSP00000481734
ENST00000456048,ENSP00000403645
ENST00000219343,ENSP00000219343
ENST00000394239,ENSP00000377785
ENST00000315491,ENSP00000320295
ENST00000409891,ENSP00000386431
ENST00000541354,ENSP00000444789
ENST00000506886,ENSP00000420920
ENST00000245539,ENSP00000245539
ENST00000302558,ENSP00000306637
ENST00000393844,ENSP00000377427
ENST00000450383,ENSP00000391436
ENST00000539585,ENSP00000444736
ENST00000630464,ENSP00000486576
ENST00000368580,ENSP00000357569
ENST00000521776,ENSP00000428619
ENST00000315073,ENSP00000320869
ENST00000327098,ENSP00000312701
ENST00000436624,ENSP00000406469
ENST00000458607,ENSP00000404340
ENST00000317204,ENSP00000314733
ENST00000367501,ENSP00000356471
ENST00000311160,ENSP00000312143
ENST00000426469,ENSP00000397043
ENST00000429677,ENSP00000401828
ENST00000645054,ENSP00000495751
ENST00000301324,ENSP00000301324
ENST00000343905,ENSP00000340975
ENST00000296978,ENSP00000296978
ENST00000642069,ENSP00000493167
ENST00000628995,ENSP00000485847
ENST00000454502,ENSP00000392029
ENST00000478943,ENSP00000463313
ENST00000445008,ENSP00000408079
ENST00000379937,ENSP00000369269
ENST00000524325,ENSP00000428763
ENST00000526343,ENSP00000434134
ENST00000380324,ENSP00000369681
ENST00000300061,ENSP00000300061
ENST00000674365,ENSP00000501349
ENST00000238961,ENSP00000238961
ENST00000321358,ENSP00000361626
ENST00000260777,ENSP00000260777
ENST00000373129,ENSP00000362221
ENST00000534111,ENSP00000435184
ENST00000371436,ENSP00000360491
ENST00000405335,ENSP00000385285
ENST00000186436,ENSP00000186436
ENST00000625521,ENSP00000486574
ENST00000673526,ENSP00000500044
ENST00000629372,ENSP00000490718
ENST00000598197,ENSP00000470747
ENST00000586400,ENSP00000466793
ENST00000652453,ENSP00000499107
ENST00000433900,ENSP00000389852
ENST00000377095,ENSP00000366299
ENST00000252996,ENSP00000252996
ENST00000598265,ENSP00000472769
ENST00000435065,ENSP00000402760
ENST00000614697,ENSP00000484129
ENST00000262676,ENSP00000262676
ENST00000287380,ENSP00000287380
ENST00000328886,ENSP00000332404
ENST00000396548,ENSP00000379797
ENST00000240691,ENSP00000240691
ENST00000548002,ENSP00000447835
ENST00000390666,ENSP00000375081
ENST00000301072,ENSP00000301072
ENST00000262961,ENSP00000262961
ENST00000254663,ENSP00000254663
ENST00000367643,ENSP00000356615
ENST00000020926,ENSP00000020926
ENST00000366697,ENSP00000355658
ENST00000283916,ENSP00000283916
ENST00000334895,ENSP00000334624
ENST00000613002,ENSP00000478154
ENST00000317256,ENSP00000321071
ENST00000545622,ENSP00000438928
ENST00000418386,ENSP00000413450
ENST00000506087,ENSP00000425335
ENST00000552337,ENSP00000450288
ENST00000567758,ENSP00000454401
ENST00000392396,ENSP00000376197
ENST00000568579,ENSP00000456234
ENST00000412611,ENSP00000392032
ENST00000343325,ENSP00000342974
ENST00000568667,ENSP00000457853
ENST00000520958,ENSP00000429547
ENST00000403994,ENSP00000385107
ENST00000265770,ENSP00000265770
ENST00000263798,ENSP00000263798
ENST00000433397,ENSP00000395864
ENST00000306388,ENSP00000306362
ENST00000288502,ENSP00000288502
ENST00000415485,ENSP00000405357
ENST00000296861,ENSP00000296861
ENST00000399351,ENSP00000382288
ENST00000413146,ENSP00000398337
ENST00000418210,ENSP00000411951
ENST00000284320,ENSP00000284320
ENST00000256852,ENSP00000256852
ENST00000340030,ENSP00000344739
ENST00000317955,ENSP00000315950
ENST00000445206,ENSP00000391917
ENST00000361584,ENSP00000354547
ENST00000218348,ENSP00000218348
ENST00000401886,ENSP00000385662
ENST00000412451,ENSP00000402718
ENST00000378344,ENSP00000367595
ENST00000390369,ENSP00000374892
ENST00000646060,ENSP00000496302
ENST00000257909,ENSP00000257909
ENST00000582137,ENSP00000462922
ENST00000261381,ENSP00000261381
ENST00000280358,ENSP00000280358
ENST00000258955,ENSP00000258955
ENST00000428383,ENSP00000405024
ENST00000390466,ENSP00000450865
ENST00000383032,ENSP00000372499
ENST00000582070,ENSP00000463990
ENST00000396078,ENSP00000379388
ENST00000383602,ENSP00000373096
ENST00000342649,ENSP00000341539
ENST00000615385,ENSP00000478971
ENST00000537687,ENSP00000444465
ENST00000371755,ENSP00000360820
ENST00000319560,ENSP00000316940
ENST00000392522,ENSP00000376307
ENST00000430502,ENSP00000398956
ENST00000371144,ENSP00000360186
ENST00000378339,ENSP00000367590
ENST00000431272,ENSP00000396986
ENST00000316073,ENSP00000317895
ENST00000344579,ENSP00000339714
ENST00000440863,ENSP00000400312
ENST00000413715,ENSP00000411949
ENST00000348333,ENSP00000314451
ENST00000618516,ENSP00000480997
ENST00000549841,ENSP00000448572
ENST00000361664,ENSP00000355241
ENST00000451032,ENSP00000415703
ENST00000262160,ENSP00000262160
ENST00000300747,ENSP00000300747
ENST00000368254,ENSP00000357237
ENST00000380861,ENSP00000370242
ENST00000240335,ENSP00000240335
ENST00000651945,ENSP00000499153
ENST00000407148,ENSP00000385861
ENST00000615667,ENSP00000478927
ENST00000548311,ENSP00000448313
ENST00000357194,ENSP00000349722
ENST00000368382,ENSP00000357366
ENST00000310898,ENSP00000312144
ENST00000342854,ENSP00000340347
ENST00000475243,ENSP00000417175
ENST00000397906,ENSP00000381003
ENST00000473688,ENSP00000431584
ENST00000258796,ENSP00000258796
ENST00000436574,ENSP00000405154
ENST00000622059,ENSP00000483131
ENST00000564230,ENSP00000458105
ENST00000517870,ENSP00000429726
ENST00000335509,ENSP00000335300
ENST00000528443,ENSP00000435365
ENST00000646702,ENSP00000496697
ENST00000518915,ENSP00000430179
ENST00000345877,ENSP00000331023
ENST00000562759,ENSP00000457965
ENST00000527087,ENSP00000435838
ENST00000229812,ENSP00000229812
ENST00000405938,ENSP00000384297
ENST00000357006,ENSP00000349503
ENST00000553849,ENSP00000451318
ENST00000346878,ENSP00000264820
ENST00000355860,ENSP00000348119
ENST00000673441,ENSP00000500055
ENST00000642820,ENSP00000495900
ENST00000589691,ENSP00000467482
ENST00000650110,ENSP00000497594
ENST00000544425,ENSP00000442715
ENST00000602593,ENSP00000473561
ENST00000446923,ENSP00000391612
ENST00000451715,ENSP00000398355
ENST00000404798,ENSP00000385218
ENST00000603488,ENSP00000474994
ENST00000476950,ENSP00000419496
ENST00000367054,ENSP00000356021
ENST00000360439,ENSP00000353622
ENST00000504953,ENSP00000425570
ENST00000566855,ENSP00000457161
ENST00000308278,ENSP00000312017
ENST00000645974,ENSP00000496390
ENST00000431383,ENSP00000403479
ENST00000223023,ENSP00000223023
ENST00000451132,ENSP00000394353
ENST00000372090,ENSP00000361162
ENST00000649279,ENSP00000497406
ENST00000303415,ENSP00000305529
ENST00000315423,ENSP00000321203
ENST00000307712,ENSP00000306881
ENST00000373132,ENSP00000362224
ENST00000380633,ENSP00000370007
ENST00000377351,ENSP00000366568
ENST00000524575,ENSP00000435602
ENST00000647337,ENSP00000495497
ENST00000406884,ENSP00000384495
ENST00000383655,ENSP00000373151
ENST00000340535,ENSP00000345866
ENST00000296099,ENSP00000296099
ENST00000343666,ENSP00000375053
ENST00000454550,ENSP00000416509
ENST00000612460,ENSP00000481037
ENST00000512681,ENSP00000426318
ENST00000671711,ENSP00000500525
ENST00000663595,ENSP00000499695
ENST00000538566,ENSP00000446118
ENST00000444387,ENSP00000406026
ENST00000511240,ENSP00000427399
ENST00000652680,ENSP00000498747
ENST00000406540,ENSP00000385436
ENST00000395601,ENSP00000378965
ENST00000361642,ENSP00000354487
ENST00000254742,ENSP00000254742
ENST00000424104,ENSP00000393272
ENST00000400521,ENSP00000383365
ENST00000492758,ENSP00000417378
ENST00000406453,ENSP00000385845
ENST00000634804,ENSP00000489149
ENST00000358701,ENSP00000351536
ENST00000645592,ENSP00000496619
ENST00000324170,ENSP00000324274
ENST00000642845,ENSP00000493587
ENST00000343028,ENSP00000342322
ENST00000537526,ENSP00000440950
ENST00000607544,ENSP00000476253
ENST00000375031,ENSP00000364171
ENST00000316425,ENSP00000314116
ENST00000409736,ENSP00000387162
ENST00000447001,ENSP00000398841
ENST00000672018,ENSP00000500728
ENST00000552520,ENSP00000448462
ENST00000439858,ENSP00000429775
ENST00000247883,ENSP00000247883
ENST00000672971,ENSP00000500955
ENST00000396547,ENSP00000379796
ENST00000370269,ENSP00000359292
ENST00000395023,ENSP00000378469
ENST00000530393,ENSP00000432504
ENST00000392741,ENSP00000376497
ENST00000381906,ENSP00000371331
ENST00000342836,ENSP00000340889
ENST00000377179,ENSP00000366384
ENST00000645029,ENSP00000496171
ENST00000352523,ENSP00000239214
ENST00000296091,ENSP00000296091
ENST00000335972,ENSP00000338413
ENST00000515837,ENSP00000440638
ENST00000371924,ENSP00000360992
ENST00000415040,ENSP00000410279
ENST00000543304,ENSP00000438792
ENST00000354957,ENSP00000347043
ENST00000340993,ENSP00000342399
ENST00000566780,ENSP00000457230
ENST00000307366,ENSP00000303987
ENST00000262435,ENSP00000262435
ENST00000331555,ENSP00000356093
ENST00000392950,ENSP00000376677
ENST00000261180,ENSP00000261180
ENST00000450778,ENSP00000387445
ENST00000400143,ENSP00000383009
ENST00000253047,ENSP00000253047
ENST00000263932,ENSP00000263932
ENST00000642515,ENSP00000496348
ENST00000452316,ENSP00000415772
ENST00000558583,ENSP00000454014
ENST00000559397,ENSP00000452879
ENST00000560721,ENSP00000452787
ENST00000561266,ENSP00000453955
ENST00000438859,ENSP00000411582
ENST00000642700,ENSP00000494425
ENST00000274680,ENSP00000274680
ENST00000444147,ENSP00000399915
ENST00000598810,ENSP00000472109
ENST00000433608,ENSP00000399211
ENST00000383759,ENSP00000373266
ENST00000367721,ENSP00000356694
ENST00000321276,ENSP00000315137
ENST00000319416,ENSP00000323795
ENST00000547030,ENSP00000449847
ENST00000530271,ENSP00000433548
ENST00000648336,ENSP00000497572
ENST00000369518,ENSP00000358531
ENST00000446113,ENSP00000400113
ENST00000544379,ENSP00000438204
ENST00000366514,ENSP00000355471
ENST00000310473,ENSP00000312029
ENST00000252512,ENSP00000252512
ENST00000441448,ENSP00000402338
ENST00000570117,ENSP00000455247
ENST00000394945,ENSP00000378401
ENST00000366159,ENSP00000380389
ENST00000407690,ENSP00000384421
ENST00000440513,ENSP00000388877
ENST00000304886,ENSP00000307341
ENST00000642491,ENSP00000495714
ENST00000440117,ENSP00000392130
ENST00000373622,ENSP00000362724
ENST00000262843,ENSP00000262843
ENST00000444864,ENSP00000407974
ENST00000586040,ENSP00000466193
ENST00000381583,ENSP00000370995
ENST00000377988,ENSP00000367227
ENST00000573374,ENSP00000460121
ENST00000390415,ENSP00000419595
ENST00000447632,ENSP00000393952
ENST00000426945,ENSP00000397790
ENST00000275764,ENSP00000275764
ENST00000566454,ENSP00000455064
ENST00000617887,ENSP00000480294
ENST00000417606,ENSP00000414512
ENST00000601016,ENSP00000469981
ENST00000379504,ENSP00000368818
ENST00000279281,ENSP00000279281
ENST00000327536,ENSP00000328016
ENST00000392743,ENSP00000376499
ENST00000357085,ENSP00000349596
ENST00000448827,ENSP00000418078
ENST00000237530,ENSP00000237530
ENST00000573524,ENSP00000460247
ENST00000317578,ENSP00000316842
ENST00000376659,ENSP00000365847
ENST00000398009,ENSP00000381093
ENST00000581396,ENSP00000464297
ENST00000367941,ENSP00000356918
ENST00000612012,ENSP00000482070
ENST00000369081,ENSP00000489864
ENST00000373289,ENSP00000362386
ENST00000367242,ENSP00000356211
ENST00000245407,ENSP00000245407
ENST00000368581,ENSP00000357570
ENST00000583114,ENSP00000463768
ENST00000336174,ENSP00000336655
ENST00000393382,ENSP00000377043
ENST00000267023,ENSP00000267023
ENST00000348495,ENSP00000252807
ENST00000346432,ENSP00000328879
ENST00000373998,ENSP00000363110
ENST00000298355,ENSP00000298355
ENST00000647194,ENSP00000496238
ENST00000620912,ENSP00000482059
ENST00000398008,ENSP00000381092
ENST00000395739,ENSP00000379088
ENST00000452688,ENSP00000413766
ENST00000414040,ENSP00000404274
ENST00000410062,ENSP00000386788
ENST00000502330,ENSP00000423606
ENST00000371926,ENSP00000360994
ENST00000297661,ENSP00000297661
ENST00000449109,ENSP00000389606
ENST00000263346,ENSP00000263346
ENST00000343106,ENSP00000345285
ENST00000672014,ENSP00000500698
ENST00000367821,ENSP00000356795
ENST00000640769,ENSP00000491507
ENST00000441411,ENSP00000403846
ENST00000420878,ENSP00000392371
ENST00000360844,ENSP00000354090
ENST00000317398,ENSP00000321848
ENST00000529691,ENSP00000433881
ENST00000324331,ENSP00000316335
ENST00000423335,ENSP00000395245
ENST00000162749,ENSP00000162749
ENST00000642735,ENSP00000494050
ENST00000337768,ENSP00000336750
ENST00000538183,ENSP00000446252
ENST00000617607,ENSP00000478830
ENST00000642767,ENSP00000494346
ENST00000566264,ENSP00000454945
ENST00000439696,ENSP00000388402
ENST00000444469,ENSP00000416154
ENST00000543897,ENSP00000438993
ENST00000376537,ENSP00000365720
ENST00000320985,ENSP00000319248
ENST00000544573,ENSP00000439446
ENST00000411995,ENSP00000399664
ENST00000372195,ENSP00000361269
ENST00000321805,ENSP00000318494
ENST00000382753,ENSP00000372201
ENST00000343737,ENSP00000340677
ENST00000542188,ENSP00000437849
ENST00000374994,ENSP00000364133
ENST00000356876,ENSP00000349341
ENST00000281030,ENSP00000281030
ENST00000567759,ENSP00000455265
ENST00000563755,ENSP00000456513
ENST00000256246,ENSP00000256246
ENST00000521198,ENSP00000430463
ENST00000372116,ENSP00000361188
ENST00000011691,ENSP00000011691
ENST00000389385,ENSP00000374036
ENST00000368253,ENSP00000357236
ENST00000340908,ENSP00000341292
ENST00000574656,ENSP00000458498
ENST00000225308,ENSP00000225308
ENST00000368806,ENSP00000357796
ENST00000394949,ENSP00000378403
ENST00000403167,ENSP00000385015
ENST00000548421,ENSP00000446707
ENST00000450529,ENSP00000391048
ENST00000389363,ENSP00000374014
ENST00000255152,ENSP00000255152
ENST00000651870,ENSP00000499212
ENST00000421836,ENSP00000411344
ENST00000426838,ENSP00000390687
ENST00000334889,ENSP00000334813
ENST00000610212,ENSP00000493161
ENST00000380377,ENSP00000369736
ENST00000351959,ENSP00000337713
ENST00000372133,ENSP00000361206
ENST00000267996,ENSP00000267996
ENST00000398042,ENSP00000381122
ENST00000358295,ENSP00000351043
ENST00000379631,ENSP00000368952
ENST00000431372,ENSP00000407456
ENST00000400644,ENSP00000383486
ENST00000211314,ENSP00000211314
ENST00000607003,ENSP00000475925
ENST00000517992,ENSP00000431124
ENST00000640279,ENSP00000491638
ENST00000651890,ENSP00000498875
ENST00000613721,ENSP00000480387
ENST00000569071,ENSP00000456376
ENST00000600766,ENSP00000494306
ENST00000447137,ENSP00000393506
ENST00000393008,ENSP00000376732
ENST00000523048,ENSP00000428428
ENST00000621421,ENSP00000481842
ENST00000377782,ENSP00000367013
ENST00000270061,ENSP00000270061
ENST00000285021,ENSP00000285021
ENST00000555841,ENSP00000451563
ENST00000419790,ENSP00000401184
ENST00000649191,ENSP00000497185
ENST00000383327,ENSP00000372817
ENST00000381580,ENSP00000370992
ENST00000309117,ENSP00000311399
ENST00000505803,ENSP00000427478
ENST00000207870,ENSP00000207870
ENST00000367819,ENSP00000356793
ENST00000392588,ENSP00000376367
ENST00000630424,ENSP00000486349
ENST00000367641,ENSP00000356613
ENST00000393086,ENSP00000376801
ENST00000368738,ENSP00000357727
ENST00000443109,ENSP00000414525
ENST00000409032,ENSP00000387096
ENST00000309889,ENSP00000312624
ENST00000399976,ENSP00000382858
ENST00000399162,ENSP00000382115
ENST00000645958,ENSP00000495842
ENST00000392547,ENSP00000376330
ENST00000272746,ENSP00000272746
ENST00000402690,ENSP00000384449
ENST00000374242,ENSP00000363360
ENST00000381482,ENSP00000370891
ENST00000543873,ENSP00000438451
ENST00000283713,ENSP00000283713
ENST00000458549,ENSP00000414786
ENST00000413473,ENSP00000406144
ENST00000301043,ENSP00000301043
ENST00000255674,ENSP00000255674
ENST00000392523,ENSP00000376308
ENST00000644296,ENSP00000495986
ENST00000360392,ENSP00000353561
ENST00000374990,ENSP00000364129
ENST00000341567,ENSP00000340668
ENST00000392747,ENSP00000376503
ENST00000554444,ENSP00000451617
ENST00000349155,ENSP00000257567
ENST00000407643,ENSP00000385316
ENST00000375026,ENSP00000364166
ENST00000536543,ENSP00000490716
ENST00000502730,ENSP00000421976
ENST00000559556,ENSP00000453941
ENST00000419765,ENSP00000405482
ENST00000523251,ENSP00000429209
ENST00000288513,ENSP00000288513
ENST00000430402,ENSP00000398494
ENST00000328459,ENSP00000336127
ENST00000433271,ENSP00000405558
ENST00000376552,ENSP00000365735
ENST00000349311,ENSP00000344069
ENST00000390453,ENSP00000451837
ENST00000310421,ENSP00000309031
ENST00000447402,ENSP00000413960
ENST00000392429,ENSP00000376224
ENST00000216927,ENSP00000216927
ENST00000425138,ENSP00000395028
ENST00000283148,ENSP00000283148
ENST00000454427,ENSP00000414972
ENST00000519716,ENSP00000429562
ENST00000284995,ENSP00000284995
ENST00000406880,ENSP00000385603
ENST00000449318,ENSP00000404904
ENST00000642201,ENSP00000494778
ENST00000550785,ENSP00000448083
ENST00000394804,ENSP00000378283
ENST00000402228,ENSP00000385976
ENST00000371268,ENSP00000360315
ENST00000650015,ENSP00000497766
ENST00000347898,ENSP00000289932
ENST00000517608,ENSP00000428813
ENST00000542719,ENSP00000485128
ENST00000537706,ENSP00000445743
ENST00000375151,ENSP00000364293
ENST00000399165,ENSP00000382118
ENST00000331738,ENSP00000330188
ENST00000515221,ENSP00000424558
ENST00000552516,ENSP00000447297
ENST00000300134,ENSP00000300134
ENST00000295888,ENSP00000295888
ENST00000266025,ENSP00000266025
ENST00000360079,ENSP00000353192
ENST00000267377,ENSP00000267377
ENST00000575903,ENSP00000458973
ENST00000451311,ENSP00000414376
ENST00000335351,ENSP00000334294
ENST00000393770,ENSP00000377365
ENST00000402357,ENSP00000383933
ENST00000377214,ENSP00000366419
ENST00000458265,ENSP00000398440
ENST00000373087,ENSP00000362179
ENST00000405878,ENSP00000384257
ENST00000510741,ENSP00000426716
ENST00000377996,ENSP00000367235
ENST00000551068,ENSP00000446514
ENST00000414015,ENSP00000401071
ENST00000593945,ENSP00000469640
ENST00000442536,ENSP00000389285
ENST00000383603,ENSP00000373097
ENST00000541676,ENSP00000437900
ENST00000423632,ENSP00000489944
ENST00000335494,ENSP00000335673
